Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Price,Rating,Display_Size,OS
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Blue,1.7,Intel Core i5,56990,4,15.6,Windows 11
ACER,Aspire 19V ,13th Gen,16 GB,512 GB,Gray,1.65,Intel Core i3,1399,3.87,19.17,Windows 11
LENOVO,14,13th Gen,16 GB,512 GB,Grey,1.4,Intel Core i3,34990,1,14,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Black,1.64,Intel Core i5,182,4.2,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,2799,4.3,24.35,Windows 11
ASUS,Chromebook ,13th Gen,8 GB,512 GB,Blue,1.61,Intel Celeron,24990,3.7,14,Chrome OS
LENOVO,V15 G4 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,34989,3.8,15.6,Windows 11
LENOVO,15,13th Gen,8 GB,256 GB,Black,1.6,Intel Celeron,23999,3.7,15.6,Windows 11
ACER,Aspire ,13th Gen,16 GB,512 GB,Gray,1.59,Intel Core i3,34490,3.9,15.6,Windows 11
MSI,Thin ,12th Gen,16 GB,512 GB,Gray,1.63,Intel Core i5,52990,4.6,40,Windows 11
ASUS,Vivobook Go ,13th Gen,16 GB,512 GB,Black,1.38,AMD Ryzen 5,40990,4,14,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Grey,1.36,AMD Ryzen 5,49908.0325581395,3.8,14,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.59,Intel Core i3,37990,4,39.6,Windows 11
ASUS,Vivobook ,14th Gen,16 GB,512 GB,Blue,1.61,AMD Ryzen 7,49908.0325581395,3.8,15.28,Windows 11
LENOVO,IdeaPad Slim 1 AMD ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,36320,4,15.6,Windows 11
LENOVO,Yoga Slim 7 ,13th Gen,32 GB,512 GB,Grey,1.55,AMD Ryzen 5,114990,4.3,14,Windows 11
ACER,Aspire ,13th Gen,16 GB,512 GB,Gray,1.45,Intel Core i5,45990,4.2,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,2799,4.2,24.35,Windows 11
DELL,Original 65W Laptop ,13th Gen,16 GB,512 GB,Black,1.64,Intel Core i5,909,3.9,15.6,Windows 11
LENOVO,Smartchoice Ideapad 5 2-in-1 ,13th Gen,16 GB,512 GB,Grey,1.6,Intel Core i5,73490,4,35.5,Windows 11
LENOVO,300 Wired Plug ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,299,4.4,15.76,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,449,3.6,24.35,Windows 11
ASUS,U65W-01 Mini Mulit-Tips ,13th Gen,16 GB,512 GB,Black,1.61,AMD Ryzen 7,2099,4.3,15.28,Windows 11
LENOVO,65W USB Slim Tip ,13th Gen,16 GB,512 GB,Black,1.55,AMD Ryzen 5,1061,4.2,15.76,Windows 11
ACER,Nano Pad Rechargeable Bluetooth ,13th Gen,16 GB,512 GB,Blue,1.65,Intel Core i3,999,3.3,19.17,Windows 11
LENOVO,300 FHD Webcam with ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,2599,4,15.76,Windows 11
ASUS,TUF Gaming ,13th Gen,4 GB,512 GB,Black,1.61,AMD Ryzen 7,65990,4.1,15.6,Windows 11
LENOVO,600 Bluetooth ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,1548,4.4,15.76,Windows 11
DELL,2years Extended Warranty for ,13th Gen,16 GB,512 GB,Black,1.64,Intel Core i5,3499,3.5,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,499,3.6,24.35,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Black,1.66,Intel Core i5,399,4.2,24.35,Windows 11
LENOVO,2years Extended Warranty with ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,3855,4,15.76,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,1399,4.1,24.35,Windows 11
LENOVO,130 Wireless Compact ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,569,4.3,15.76,Windows 11
ACER,Clearview Transparent Wireless Mouse ,13th Gen,16 GB,512 GB,Grey,1.65,Intel Core i3,599,4.6,19.17,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Gold,1.66,Intel Core i5,1119,4.1,24.35,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,299,3.9,24.35,Windows 11
DELL,Replacement 45W Adapter ,13th Gen,16 GB,512 GB,Black,1.64,Intel Core i5,949,3.6,15.6,Windows 11
DELL,2years Extended Warranty for ,13th Gen,16 GB,512 GB,Black,1.64,Intel Core i5,5499,3.7,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,1257,4,24.35,Windows 11
LENOVO,120 Wired Plug ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,299,4.4,15.76,Windows 11
ASUS,Vivobook Go ,13th Gen,8 GB,512 GB,Black,1.57,Intel Celeron,24990,2.6,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.35,Intel Core i5,65990,4,35.6,Windows 11
MSI,Katana A17 ,8th Gen,16 GB,512 GB,Black,1.63,Intel Core i5,96990,4.4,44,Windows 11
LENOVO,IdeaPad Slim 3 12th ,12th Gen,16 GB,512 GB,Grey,1.55,Intel Core i5,46450,4.5,15.6,Windows 11
LENOVO,IdeaPad ,13th Gen,8 GB,512 GB,Grey,1.55,AMD Ryzen 5,26488,3.7,15.6,Windows 11
LENOVO,IdeaPad Slim 5 AMD ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,58990,3.9,13.3,Windows 11
ASUS,Vivobook Go ,13th Gen,16 GB,512 GB,Silver,1.38,AMD Ryzen 5,41990,4,14,Windows 11
LENOVO,14,12th Gen,16 GB,512 GB,Grey,1.4,Intel Core i5,45990,1,14,Windows 11
LENOVO,Legion 7 Intel Core ,13th Gen,32 GB,512 GB,Grey,1.55,Intel Core i9,376990,5,16,Windows 11
LENOVO,Ideapad 1 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 5,39000,4,15.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.51,Intel Core i5,68990,3.7,14,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,37499,4.3,15.6,Windows 11
LENOVO,V14 G3 ,13th Gen,16 GB,512 GB,Grey,1.6,Intel Core i5,45900,3.7,14,Windows 11
ACER,Aspire Lite 12th Gen ,12th Gen,16 GB,512 GB,Silver,1.7,Intel Core i5,36541,3.3,15.6,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.45,AMD Ryzen 5,34990,3.5,15.6,Windows 11
ASUS,MW105 Multi-Device Wireless Bluetooth ,13th Gen,16 GB,512 GB,Black,1.61,AMD Ryzen 7,699,4.1,15.28,Windows 11
HP,Vivobook ,13th Gen,4 GB,256 GB,Silver,1.5,AMD Ryzen 5,34990,3.4,15.6,Windows 11
HP,Vivobook ,13th Gen,24 GB,512 GB,Silver,1.66,Intel Core i5,71700,4.5,14,Windows 11
LENOVO,IdeaPad Pro 5 AMD ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Ryzen 7,82990,3.5,16,Windows 11
LENOVO,IdeaPad Slim ,12th Gen,16 GB,512 GB,Grey,1.55,Intel Core i5,46950,4,15.6,Windows 11
ACER,Aspire ,13th Gen,6 GB,512 GB,Gray,1.99,Intel Core i7,71990,3.6,39.62,Windows 11
HP,Vivobook ,13th Gen,4 GB,512 GB,Blue,2.29,AMD Ryzen 7,62990,5,39.6,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Black,1.66,Intel Core i5,309990,3.6,40.6,Windows 11
HP,Vivobook ,13th Gen,6 GB,512 GB,Silver,2.3,Intel Core i7,96900,4.1,15.6,Windows 11
ASUS,Vivobook ,14th Gen,16 GB,512 GB,Gray,1.61,AMD Ryzen 7,64990,4.2,16,Windows 11
MSI,Thin ,13th Gen,16 GB,512 GB,Gray,1.63,Intel Core i5,57990,3.9,40,Windows 11
LENOVO,IdeaPad Slim 3 Ryzen ,13th Gen,16 GB,512 GB,Grey,1.55,AMD Radeon,42990,4.4,15.6,Windows 11
DELL,Inspiron ,13th Gen,8 GB,512 GB,Black,1.64,AMD Ryzen 3,29990,4,15.6,Windows 11
HP,Vivobook ,13th Gen,6 GB,512 GB,Silver,2.3,Intel Core i5,85990,3.7,39.6,Windows 11
ACER,Flow Wireless Mouse ,13th Gen,16 GB,512 GB,Black,1.65,Intel Core i3,399,4.5,19.17,Windows 11
ASUS,Vivobook ,13th Gen,16 GB,512 GB,Blue,1.61,Intel Core i7,68990,3.9,15.6,Windows 11
HP,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.59,Intel Core i3,34990,3.9,24.35,Windows 11
