Laptop_Name,Model_Name,Laptop_Gen,Ram,Rom,Color,Weight_In_Kg,Core,Price,Rating,Display_Size,OS
ACER,Aspire ,13th Gen,16 GB,512 GB,Gray,1.45,Intel Core i5,42790,4.2,35.56,Windows 11
HP,Vivobook ,13th Gen,6 GB,512 GB,Silver,2.3,Intel Core i5,85990,3.6,39.6,Windows 11
CHUWI,GemiBook Plus ,13th Gen,16 GB,512 GB,Gray,1.74,Intel Celeron,23990,3.6,15.6,Windows 11
CHUWI,CoreBook X Laptop ,13th Gen,8 GB,256 GB,Gray,1.74,Intel Core i3,19990,3.5,15.6,Windows 11
ASUS,Vivobook Go ,13th Gen,16 GB,512 GB,Black,1.38,AMD Ryzen 5,40990,4,14,Windows 11
LENOVO,V15 G4 AMD Ryzen ,13th Gen,16 GB,512 GB,Grey,1.58,AMD Ryzen 5,34490,3.8,15.6,Windows 11
LENOVO,14,13th Gen,6 GB,512 GB,Grey,1.58,AMD Ryzen 5,65790,4.2,15.6,Windows 11
LENOVO,Smartchoice Yoga Slim 7 ,13th Gen,32 GB,512 GB,Grey,1.58,Intel Core i5,147898,4.2,15,Windows 11
MSI,Katana ,14th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,134990,3.7,40,Windows 11
LENOVO,300 Wired Plug ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,299,4.4,16.71,Windows 11
LENOVO,Original GX21M75594 45W Laptop ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,1087,4.2,16.71,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,54250,5,14,Windows 11
MSI,Stealth 14 AI ,1st Gen,16 GB,512 GB,Blue,1.62,Intel Core i5,140990,2.3,36,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,35990,4,24.28,Windows 11
ASUS,Vivobook ,13th Gen,8 GB,512 GB,Silver,1.4,Intel Core i3,34990,3.9,14,Windows 11
ASUS,TUF Gaming ,13th Gen,4 GB,512 GB,Black,1.61,AMD Ryzen 7,65990,4.1,15.6,Windows 11
LENOVO,IdeaPad Slim ,12th Gen,8 GB,512 GB,Grey,1.58,Intel Core i5,36490,3.9,15.6,Windows 11
LENOVO,IdeaPad Slim 1 AMD ,13th Gen,16 GB,512 GB,Grey,1.58,AMD Ryzen 5,36650,4,15.6,Windows 11
DELL,Original 65W Laptop ,13th Gen,16 GB,512 GB,Black,1.64,Intel Core i5,909,3.9,15.49,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Black,1.66,Intel Core i5,399,4.2,24.28,Windows 11
LENOVO,65W USB Slim Tip ,13th Gen,16 GB,512 GB,Black,1.58,Intel Core i5,1061,4.2,16.71,Windows 11
HP,Vivobook ,13th Gen,6 GB,512 GB,Silver,2.3,Intel Core i5,70990,3.7,39.6,Windows 11
DELL,MS116 Wired Optical Mouse ,13th Gen,16 GB,512 GB,Black,1.64,Intel Core i5,309,4.4,15.49,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,422,3.6,24.28,Windows 11
LAPCARE,65W Type-C Universal Laptop ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,899,3.7,19.58,Windows 11
CHUWI,HeroBook Plus ,13th Gen,8 GB,256 GB,Gray,1.74,Intel Celeron,19990,3.4,15.6,Windows 11
LAPCARE,HT03XL L11119-857 L11119-855 L11421-542 ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,2299,3.8,19.58,Windows 11
LENOVO,IdeaPad Slim 5 AMD ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,69990,3.81269841269841,35.5,Windows 11
LENOVO,Yoga Slim 7 AMD ,13th Gen,32 GB,512 GB,Grey,1.58,Intel Core i5,109990,3.81269841269841,35.5,Windows 11
LENOVO,65W Orignal Adapter Charger ,13th Gen,16 GB,512 GB,Black,1.58,Intel Core i5,2089,3.81269841269841,16.71,Windows 11
LAPCARE,Laptop Battery L09L6Y02 for ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,1499,3.9,19.58,Windows 11
LENOVO,Original 65W USB-C Wall ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,2453,5,16.71,Windows 11
DELL,Inspiron ,13th Gen,16 GB,512 GB,Blue,1.64,AMD Radeon,70490,4.1,14,Windows 11
LAPCARE,J1KND Laptop Battery for ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,1499,3.4,19.58,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,1257,4,24.28,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,2799,4,24.28,Windows 11
LENOVO,300 FHD Webcam with ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,2790,4,16.71,Windows 11
LENOVO,600 Bluetooth ,13th Gen,16 GB,512 GB,Grey,1.58,Intel Core i5,1548,4.4,16.71,Windows 11
LAPCARE,Lapcam HD 720M ,13th Gen,16 GB,512 GB,Black,1.62,Intel Core i5,899,3.5,19.58,Windows 11
HP,Vivobook ,13th Gen,16 GB,512 GB,Silver,1.66,Intel Core i5,499,3.6,24.28,Windows 11
